Model_ID	Name	Prediction Type	End Point	Group	Title	Number compounds in the training set	Number compounds in the test set	Validation approach	R2	RMSE	Balanced Accuracy	AUC	Descriptors	Machine learning approach	Applicability domain	Reference	Source	Link
CHEMBL1075317	WD repeat-containing protein 5 -Log(IC50) M	Regression	-Log(IC50) M	Target	WD repeat-containing protein 5 -Log(IC50) M model	35	7	external test set validation 	0.04	0.837	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1075319	Transient receptor potential cation channel subfamily M member 8 -Log(IC50) M	Regression	-Log(IC50) M	Target	Transient receptor potential cation channel subfamily M member 8 -Log(IC50) M model	330	66	external test set validation 	0.63	0.574	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1075322	G-protein coupled receptor 55 -Log(IC50) M	Regression	-Log(IC50) M	Target	G-protein coupled receptor 55 -Log(IC50) M model	410	82	external test set validation 	0.13	0.442	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1075323	Endoplasmin -Log(IC50) M	Regression	-Log(IC50) M	Target	Endoplasmin -Log(IC50) M model	70	14	external test set validation 	0.18	0.652	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1163101	Serine/threonine-protein kinase/endoribonuclease IRE1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Serine/threonine-protein kinase/endoribonuclease IRE1 -Log(IC50) M model	245	49	external test set validation 	0.36	0.624	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1163125	Bromodomain-containing protein 4 -Log(IC50) M	Regression	-Log(IC50) M	Target	Bromodomain-containing protein 4 -Log(IC50) M model	660	132	external test set validation 	0.69	0.533	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1250375	NADPH oxidase 4 -Log(IC50) M	Regression	-Log(IC50) M	Target	NADPH oxidase 4 -Log(IC50) M model	35	7	external test set validation 	0.43	0.28	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1250417	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 -Log(IC50) M	Regression	-Log(IC50) M	Target	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 -Log(IC50) M model	15	3	external test set validation 	0.89	0.399	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1255126	Protein Mdm4 -Log(IC50) M	Regression	-Log(IC50) M	Target	Protein Mdm4 -Log(IC50) M model	250	50	external test set validation 	0.69	0.438	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1255137	Protein Wnt-3a -Log(IC50) M	Regression	-Log(IC50) M	Target	Protein Wnt-3a -Log(IC50) M model	35	7	external test set validation 	0.73	0.601	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1275212	Ketohexokinase -Log(IC50) M	Regression	-Log(IC50) M	Target	Ketohexokinase -Log(IC50) M model	200	40	external test set validation 	0.46	0.603	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1275221	Protein arginine N-methyltransferase 6 -Log(IC50) M	Regression	-Log(IC50) M	Target	Protein arginine N-methyltransferase 6 -Log(IC50) M model	30	6	external test set validation 	0.72	0.603	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1275223	Heat shock cognate 71 kDa protein -Log(IC50) M	Regression	-Log(IC50) M	Target	Heat shock cognate 71 kDa protein -Log(IC50) M model	70	14	external test set validation 	0.59	0.579	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1287622	Lethal(3)malignant brain tumor-like protein 1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Lethal(3)malignant brain tumor-like protein 1 -Log(IC50) M model	100	20	external test set validation 	0.67	0.343	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1287623	Lethal(3)malignant brain tumor-like protein 3 -Log(IC50) M	Regression	-Log(IC50) M	Target	Lethal(3)malignant brain tumor-like protein 3 -Log(IC50) M model	100	20	external test set validation 	0.75	0.442	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1287627	Cytochrome b-245 heavy chain -Log(IC50) M	Regression	-Log(IC50) M	Target	Cytochrome b-245 heavy chain -Log(IC50) M model	10	2	external test set validation 	1	0.142	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1287628	NADPH oxidase 1 -Log(IC50) M	Regression	-Log(IC50) M	Target	NADPH oxidase 1 -Log(IC50) M model	95	19	external test set validation 	0.49	0.511	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
